DAERAH,latitude,longitude
-,-2.4833826,117.8902853
BALI,-8.2271303,115.1919203
BAMBU APUS,-6.3276434,106.7322668
BAMBU-APUS-2,-6.3276434,106.7322668
BAMBU-APUS-4,-6.3276434,106.7322668
BANDUNG,-6.9218457,107.6070833
BANDUNG MAJALAYA,-7.0613497,107.744907
BANGKA,-2.3081245,106.0281521
BANJAR,-3.3187496,114.5925828
BANJAR SARI,-2.7025484,104.3700779
BANJAR-2,-3.3187496,114.5925828
BANJARSARI,-7.4886601,108.6151386
BCI,-8.6950893,115.2636596
BINUANGEUN,-6.8369654,105.8844907
BOGOR,-6.5962986,106.7972421
CENGKARENG,-6.1528985,106.7447182
CIAMIS,-7.3131593,108.4048938
CIAMIS-2,-7.334354,108.3911709
CIANJUR,-7.0542441,107.0691428
CIAWI-TASIKMALAYA,-7.1573957,108.1457184
CIKASUNGKA,-6.3357917,106.4139532
CILACAP,-7.461671,108.8046146
CILANGKAP,-6.3337625,106.9080579
CILANGKAP TAPOS,-6.4469234,106.8666186
CILEGON,-6.017389,106.0537688
CILEUNGSI,-6.3982206,106.9818924
CILEUNGSI-GANDOANG,-6.4144502,107.0132984
CILODONG,-6.426614,106.8399923
CILODONG DEPOK,-6.426614,106.8399923
CIMAHI,-6.8731527,107.5423099
CIPANAS,-7.6986437,107.9638397
CIPUTAT,-6.3110779,106.7184109
CIPUTAT & PONDOK RANJI,-6.292571,106.7413294
CIPUTAT PONDOK RANJI,-6.292571,106.7413294
CIPUTAT-03,-6.3110779,106.7184109
CIPUTAT-PONDOK RANJI,-6.292571,106.7413294
CIRACAS,-6.3296346,106.8766039
CIRACAS - KALISARI,-6.3311482,106.8676358
CIRACAS 3,-6.3296346,106.8766039
CIRACAS-2,-6.3296346,106.8766039
CIRACAS-3,-6.3296346,106.8766039
CIREBON,-6.7137044,108.5608483
CIREBON-LEMAH-ABANG,-6.8083804,108.6346286
CIREBON-OFFICE,-6.7302486,108.5439665
CISOLOK,-6.9490586,106.4491781
CITARIK,-6.3574098,107.4595355
CITARIK SUKABUMI,-7.0099595,106.5810317
CONDET,-6.2764268,106.8517227
CONDET-1,-6.2782985,106.8314405
CONDET-3,-6.2782985,106.8314405
DAMKAR,-6.4233691,106.8292974
DELI TUA,3.4912987,98.6827642
DELITUA,3.4913364,98.6828715
DEMAK,-6.9230952,110.6276667
DENPASAR-BALI,-8.6723373,115.2262339
DEPOK,-6.40719,106.8158371
DEPOK CILODONG,-6.4273317,106.8274873
DMK,-0.9481997,100.35917
GANDOANG,-6.4124231,107.0118699
GARUT,-7.2162774,107.9014912
GUNUNG PATI,-7.0655711,110.3751099
JABODETABEK,-6.2437707,106.8524248
JAKARTA,-6.1754049,106.827168
JAKARTA  (CIRACAS),-6.3366155,106.8709404
JAKARTA (CIRACAS),-6.3366155,106.8709404
JAKARTA BARAT,-6.161569,106.7438905
JAKARTA CIRACAS,-6.3366155,106.8709404
JAKARTA CONDET,-6.2768869,106.8310385
JEPARA,-6.5899148,110.6672987
KALISARI,-6.3360796,106.8529734
KARANGPAWITAN-GARUT,-7.2214953,107.9495221
KARAWANG,-6.3021906,107.3046116
KEBUMEN,-7.6439744,109.6077921
KEDIRI,-7.8111057,112.0046051
KELAPA NUNGGAL,-6.4531416,106.9567819
KELAPA-NUNGGAL-1,-6.4531416,106.9567819
KELAPA-NUNGGAL-4,-6.4531416,106.9567819
KELAPA-NUNGGAL-6,-6.4531416,106.9567819
KENDAL,-7.0190966,110.1374757
KENDAL KOTA,-6.9217033,110.2040344
KIWI,-4.6958359,140.7212386
KIWI-1,-4.6958359,140.7212386
KLAPANUNGGAL,-6.48336,106.9525676
KLATEN,-7.6732387,110.6284785
KRANGGAN,-7.4779476,112.4396976
KRANGGAN-2,-7.4779476,112.4396976
KRANGGAN-3,-7.4779476,112.4396976
KUDUS,-6.7978494,110.8679109
LABUAN,3.7353592,98.6771713
LUBUK PAKAM,3.5603701,98.8766933
LUBUK PAKAM-MEDAN,3.5331435,98.8950761
LUBUKPAKAM,3.5639643,98.8785793
LUMAJANG,-8.135205,113.2244162
MAJALAYA,-6.3006562,107.3548317
MEDAN,3.5894617,98.6741623
MEDAN LUBUK PAKAM,3.5596358,98.893446
MEDAN-LUBUK-PAKAM,3.5596358,98.893446
PARUNG,-6.4405056,106.7171996
PELABUHAN RATU,-6.9882409,106.5503728
PENDING,-4.5245113,140.7205403
PONDOK RANJI,-6.2766831,106.7446926
PONDOK-RANJI-1,-6.2826252,106.7376568
PORIS,-6.1697346,106.6807523
PRJ,-6.1443899,106.8480934
PURWOKERTO,-7.4194647,109.2218425
RADAR AURI,-6.3694636,106.8871018
SALATIGA,-7.3302642,110.4995353
SEMARANG,-6.9903988,110.4229104
SEMARANG-GENUK-1,-6.9456872,110.4960256
SEMARANG-GUNUNG-PATI-2,-7.0204469,110.3836152
SEMARANG-UTARA-1,-6.9625015,110.4186032
SERANG,-6.1169662,106.1518079
SIDOARJO,-7.4539769,112.6593869
SOLO,-7.5692489,110.828448
